Subject,Activity,MAE,RMSE,MAPE,R2,Pearson r,±5bpm (%),NaN (%)
S1,Driving,18.61,27.51,39.02,-43.18,-0.52,50.0,0.0
S1,Lunch,17.16,22.76,27.87,-0.69,0.45,34.9,0.0
S1,Soccer,32.35,36.38,68.88,-5.63,0.09,12.5,0.0
S1,Working,28.55,33.48,24.07,-1.29,0.32,12.7,0.0
S1,Cycling,38.18,41.12,78.22,-1.81,0.05,10.3,0.0
S1,Stairs,33.62,37.98,69.02,-1.54,-0.14,16.0,0.0
S1,Walking,27.08,29.88,23.97,-76.98,-0.3,0.0,0.0
S1,Sitting,15.08,22.36,29.45,-3.02,-0.08,42.9,0.0
S10,Driving,3.24,5.12,4.83,0.38,0.72,87.7,0.0
S10,Lunch,1.66,2.37,2.73,-0.08,0.55,99.2,0.0
S10,Soccer,2.9,3.58,4.11,0.85,0.95,95.2,0.0
S10,Working,12.15,17.37,14.29,-1.3,0.38,36.8,0.0
S10,Cycling,7.38,9.96,10.39,-6.39,0.18,50.0,0.0
S10,Stairs,6.84,11.84,10.38,-20.61,0.22,75.7,0.0
S10,Walking,3.74,6.26,5.77,-0.04,0.67,80.3,0.0
S10,Sitting,3.79,8.5,5.18,-0.64,-0.15,94.0,0.0
S11,Driving,5.92,16.59,6.03,0.14,0.5,88.9,0.0
S11,Lunch,28.55,39.01,26.68,-1.77,-0.28,33.6,0.0
S11,Soccer,9.8,22.56,10.39,0.05,0.28,82.6,0.0
S11,Working,41.32,48.89,33.86,-18.21,0.11,19.4,0.0
S11,Cycling,1.67,2.14,2.58,0.98,0.99,96.9,0.0
S11,Stairs,2.76,3.8,4.5,0.92,0.96,86.1,0.0
S11,Walking,77.55,78.76,54.63,-349.75,0.12,0.0,0.0
S11,Sitting,11.25,19.36,13.24,-0.18,0.32,51.0,0.0
S12,Driving,32.46,35.67,74.3,-17.02,-0.41,5.5,0.0
S12,Lunch,29.03,34.32,63.14,-9.0,-0.39,13.2,0.0
S12,Soccer,38.37,41.56,86.68,-10.71,-0.0,14.3,0.0
S12,Working,18.18,23.6,19.1,-3.65,0.28,31.0,0.0
S12,Cycling,27.51,32.6,60.14,-45.64,-0.15,9.7,0.0
S12,Stairs,38.91,40.18,88.46,-86.07,-0.26,2.7,0.0
S12,Walking,11.72,14.65,16.19,-6.46,-0.23,25.0,0.0
S12,Sitting,20.22,25.9,39.66,-8.49,-0.22,25.5,0.0
S13,Driving,3.04,9.88,4.2,-0.07,0.08,98.1,0.0
S13,Lunch,4.24,8.75,5.4,0.69,0.85,82.0,0.0
S13,Soccer,4.53,15.29,4.99,-0.07,-0.01,95.2,0.0
S13,Working,16.04,25.19,14.72,-3.47,0.09,53.4,0.0
S13,Cycling,6.78,16.76,9.02,0.33,0.58,90.6,0.0
S13,Stairs,30.34,37.86,59.01,-2.63,-0.07,39.5,0.0
S13,Walking,36.36,39.85,29.7,-19.81,-0.03,11.6,0.0
S13,Sitting,5.3,10.66,9.14,0.14,0.64,74.0,0.0
S14,Driving,0.85,1.22,1.38,0.98,0.99,100.0,0.0
S14,Lunch,8.98,15.89,10.91,-0.6,0.52,67.0,0.0
S14,Soccer,0.91,1.09,1.39,1.0,1.0,100.0,0.0
S14,Working,14.09,24.24,11.71,-1.24,0.48,68.1,0.0
S14,Cycling,1.81,2.24,3.0,0.97,0.99,97.0,0.0
S14,Stairs,1.2,1.44,1.97,0.92,0.96,100.0,0.0
S14,Walking,6.68,11.56,6.35,0.23,0.78,75.7,0.0
S14,Sitting,2.84,3.87,4.18,0.91,0.96,84.0,0.0
S15,Driving,1.87,2.51,3.24,0.95,0.98,93.9,0.0
S15,Lunch,7.09,12.54,11.1,-0.53,0.58,68.9,0.0
S15,Soccer,23.67,31.25,50.45,-2.62,0.29,38.5,0.0
S15,Working,25.99,35.15,23.08,-8.71,0.19,33.3,0.0
S15,Cycling,1.66,2.38,2.97,0.91,0.95,88.0,0.0
S15,Stairs,30.0,36.75,64.04,-19.95,-0.12,25.0,0.0
S15,Walking,10.61,15.23,12.84,-4.63,0.29,55.0,0.0
S15,Sitting,13.71,24.5,23.28,-2.49,0.33,50.0,0.0
S2,Driving,2.79,4.84,4.23,0.2,0.81,91.1,0.0
S2,Lunch,6.22,9.36,9.69,-5.21,0.26,58.4,0.0
S2,Soccer,7.16,10.72,9.3,-0.73,0.4,54.2,0.0
S2,Working,16.3,22.32,20.1,-8.42,0.26,27.3,0.0
S2,Cycling,1.45,1.78,2.33,-1.72,,100.0,0.0
S2,Stairs,5.68,8.44,8.09,-2.52,0.18,65.0,0.0
S2,Walking,5.66,7.89,8.47,-0.7,0.46,64.3,0.0
S2,Sitting,9.45,15.74,13.14,-2.46,0.2,51.0,0.0
S3,Driving,3.68,5.15,6.23,0.47,0.72,81.8,0.0
S3,Lunch,4.29,7.94,5.97,0.58,0.82,80.9,0.0
S3,Soccer,15.08,25.73,30.44,-73.5,-0.29,66.7,0.0
S3,Working,11.32,19.7,10.94,-3.56,0.54,63.9,0.0
S3,Cycling,4.55,10.6,5.5,0.61,0.82,85.2,0.0
S3,Stairs,21.02,27.8,41.37,-10.89,-0.15,34.4,0.0
S3,Walking,13.99,24.06,14.29,-4.63,0.05,64.4,0.0
S3,Sitting,6.69,10.57,10.22,0.19,0.67,65.3,0.0
S4,Driving,4.43,8.47,6.97,-1.55,0.37,79.0,0.0
S4,Lunch,18.94,24.85,22.06,-2.78,0.17,26.9,0.0
S4,Soccer,3.7,6.36,4.9,0.77,0.92,84.0,0.0
S4,Working,25.57,29.65,25.86,-3.27,-0.17,5.4,0.0
S4,Cycling,3.0,6.26,3.76,0.83,0.97,83.3,0.0
S4,Stairs,6.78,9.95,10.07,0.11,0.55,53.8,0.0
S4,Walking,38.59,44.07,33.8,-131.13,0.06,5.6,0.0
S4,Sitting,9.8,13.2,12.78,-0.08,0.42,36.2,0.0
S5,Driving,2.01,2.43,2.14,0.9,0.95,96.1,0.0
S5,Lunch,23.12,37.77,18.87,-5.6,-0.43,62.7,0.0
S5,Soccer,6.54,14.97,5.52,-0.1,0.12,90.9,0.0
S5,Working,61.7,69.69,37.15,-37.63,-0.04,10.5,0.0
S5,Cycling,7.09,13.3,6.5,-0.33,0.27,75.0,0.0
S5,Stairs,3.52,5.6,3.63,0.73,0.88,94.1,0.0
S5,Walking,47.69,54.77,37.5,-181.07,0.14,20.0,0.0
S5,Sitting,17.5,28.9,14.69,-3.69,0.22,56.0,0.0
S6,Driving,2.24,3.95,2.63,0.07,0.76,95.2,0.0
S6,Soccer,2.07,2.78,2.49,0.4,0.8,95.2,0.0
S6,Cycling,2.33,2.71,2.71,-0.13,0.63,93.9,0.0
S6,Stairs,2.28,3.16,2.69,0.32,0.84,96.8,0.0
S6,Sitting,7.72,12.39,7.81,-1.14,0.45,61.2,0.0
S7,Driving,1.75,3.16,3.24,0.91,0.96,95.2,0.0
S7,Lunch,9.93,15.52,12.42,0.45,0.75,53.6,0.0
S7,Soccer,1.7,2.06,3.25,0.99,0.99,100.0,0.0
S7,Working,23.12,29.2,19.91,-5.04,0.12,22.9,0.0
S7,Cycling,3.7,10.83,4.73,0.77,0.89,87.5,0.0
S7,Stairs,1.4,1.68,2.72,0.99,1.0,100.0,0.0
S7,Walking,23.79,30.62,16.79,-9.05,0.17,32.6,0.0
S7,Sitting,5.14,8.62,7.4,0.58,0.77,68.6,0.0
S8,Driving,8.94,14.86,14.88,-16.86,0.04,50.0,0.0
S8,Lunch,12.31,16.54,18.51,-3.1,0.35,32.5,0.0
S8,Soccer,10.57,14.74,18.17,-2.93,0.1,34.8,0.0
S8,Working,28.47,38.06,30.11,-6.93,-0.17,25.4,0.0
S8,Cycling,6.43,9.11,10.5,0.1,0.5,46.4,0.0
S8,Stairs,6.25,11.54,10.42,-1.02,0.25,72.7,0.0
S8,Walking,14.14,15.91,19.33,-21.5,0.35,17.9,0.0
S8,Sitting,10.08,15.24,15.64,-7.34,0.08,43.5,0.0
S9,Driving,3.64,8.01,5.44,0.14,0.42,91.7,0.0
S9,Lunch,9.8,13.74,13.32,-0.34,0.49,52.2,0.0
S9,Soccer,6.01,11.16,7.91,0.36,0.7,77.3,0.0
S9,Working,51.48,56.18,37.83,-16.1,0.3,6.8,0.0
S9,Cycling,7.26,16.41,11.02,-0.67,0.17,88.2,0.0
S9,Stairs,5.12,11.13,7.22,0.17,0.42,82.9,0.0
S9,Walking,15.78,20.88,16.47,-16.91,-0.25,22.2,0.0
S9,Sitting,7.98,11.99,10.34,-0.18,0.53,56.9,0.0
