Subject,Activity,MAE,RMSE,MAPE,R2,Pearson r,??5bpm (%),NaN (%)
P02,keyboard-typing,9.98,13.8,11.68,-124.34,-0.22,47.6,0
P02,mobile-typing,1.62,2.08,2.1,-3.75,0.05,95.2,0
P02,ssst-sing,9.12,9.54,10.49,-1227.3,0.74,20,0
P02,jogging,38.88,49.54,43.29,-16.98,-0.42,14.8,0
P02,running,31.03,33.14,28.01,-10.39,-0.31,0,0
P02,walking,6.88,14.52,7.63,-46.57,0.38,66.7,0
P02,meditation-1,5.71,7.65,7.13,-0.61,0.15,56.9,0
P02,meditation-2,3,4.07,3.97,-2.74,0.31,73.6,0
P02,rest-1,6.19,7.83,9.22,-10.12,-0.19,60.7,0
P02,rest-2,3.17,4.58,4.15,-209.93,-0.43,74.1,0
P02,rest-3,7.44,8.78,8.64,-5.96,0.36,26.9,0
P02,rest-4,18.33,19.65,19.34,-36.87,0.47,0,0
P02,rest-5,32.86,37.33,24.55,-33.73,0.14,0,0
P02,screen-reading,3.17,5.06,3.94,-5.31,-0.27,78.6,0
P02,standing,8.55,12.17,10.44,-15.03,-0.14,53.7,0
P03,keyboard-typing,6.76,9.6,7.94,-17.74,-0.05,46.3,0
P03,mobile-typing,3.8,4.82,4.65,-2.87,0.28,73.2,0
P03,ssst-sing,60.82,76.61,74.92,-211307.72,-0.88,20,0
P03,jogging,18.28,23.08,19.02,-3.33,-0.77,34.6,0
P03,running,31.34,34.93,28.25,-5.99,0.52,0,0
P03,walking,14.58,21.7,14.79,-272.87,0.26,23.1,0
P03,meditation-1,4.85,5.37,6.68,-3.51,0.28,47.2,0
P03,meditation-2,4.44,5.14,6.04,-1.02,0.69,77.5,0
P03,rest-1,4.22,5.35,5.38,-93.85,0.44,92.3,0
P03,rest-2,8.24,9.77,10.06,-29.54,-0.29,38.5,0
P03,rest-3,7.75,10.27,9.43,-15.85,-0.08,61.5,0
P03,rest-4,11.06,12.11,12.04,-11.09,0.61,19.2,0
P03,rest-5,41.54,47.04,31.48,-64.33,-0.06,0,0
P03,screen-reading,4.25,5.81,5.47,-3.17,-0.36,71.4,0
P03,standing,10.17,11.8,11.39,-7.64,-0.18,14.6,0
P04,keyboard-typing,10.13,12.6,14.74,-16.68,0.42,38.1,0
P04,mobile-typing,8.43,9.46,11.01,-6.1,-0.59,19,0
P04,ssst-sing,7.73,8.15,9.16,-77.42,0.8,25,0
P04,jogging,75.55,76.72,95.38,-912.94,0.39,0,0
P04,running,13.58,27.44,15.78,-155.43,0.61,65.4,0
P04,walking,42.05,42.87,44.03,-25.48,,0,0
P04,meditation-1,7.2,9.21,9.77,-2.32,-0.17,40.3,0
P04,meditation-2,12.19,16.47,14.14,-0.87,-0.29,35.1,0
P04,rest-1,10.19,12.92,12.99,-4.86,0.44,39.3,0
P04,rest-2,6.09,8.29,8.42,-179.04,0.12,70.4,0
P04,rest-3,9.16,12.62,12.67,-142.58,-0.65,39.3,0
P04,rest-4,35.21,38.19,33.41,-328.47,0.05,0,0
P04,rest-5,53.68,60.28,38.86,-17.74,-0.4,10.5,0
P04,screen-reading,6,7.68,7.63,-2.27,-0.13,52.4,0
P04,standing,6.5,8.5,8.85,-5.8,0.44,47.6,0
P05,keyboard-typing,13.02,15.14,16.94,-508.94,0.23,24.4,0
P05,mobile-typing,3.83,4.34,4.92,-5.28,-0.17,80.5,0
P05,ssst-sing,17.98,18.58,18.34,-319.77,-0.89,0,0
P05,jogging,9.35,13.63,11,-46.84,-0.22,30.8,0
P05,running,8.4,10.97,9.54,-8.45,0.12,34.6,0
P05,walking,25.24,25.75,30.49,-155.34,0.22,0,0
P05,meditation-1,6.01,7.49,7.96,-10.8,-0.16,49.3,0
P05,meditation-2,5.52,6.78,7.64,-3.02,0.09,56.3,0
P05,rest-1,4.68,6.18,6.06,-12.07,-0.47,61.5,0
P05,rest-2,4.95,6.1,6.38,-169.53,-0.69,61.5,0
P05,rest-3,13.04,14.52,14.51,-4.09,0.4,19.2,0
P05,rest-4,11.38,13.61,13.33,-169.8,-0.08,26.9,0
P05,rest-5,25.24,30.55,30.34,-15.99,-0.9,11.5,0
P05,screen-reading,6.18,7.63,7.76,-6.45,-0.42,34.1,0
P05,standing,10.87,11.8,11.9,-2.12,-0.17,4.9,0
P06,keyboard-typing,15.07,17.53,18.31,-17.79,0.42,24.4,0
P06,mobile-typing,7.06,8.92,8.99,-6.09,-0.14,51.2,0
P06,ssst-sing,29.02,29.21,37.01,-265.17,0.36,0,0
P06,jogging,7,16.51,9.23,-274.46,-0.31,51.9,0
P06,running,4.5,5,5.32,-4.26,,48.1,0
P06,walking,42.63,50.29,50.52,-126.09,0.31,0,0
P06,meditation-1,6.3,8.2,8.83,-5.59,-0.21,43.1,0
P06,meditation-2,17.36,25.4,17.91,-0.95,-0.14,31.9,0
P06,rest-1,13.23,16.81,17.55,-45.43,-0.14,17.2,0
P06,rest-2,13.52,16.4,16.79,-10.11,-0.19,25.9,0
P06,rest-3,12.67,15.24,15.2,-614.5,0,21.4,0
P06,rest-4,31.32,32.07,31.05,-38.12,0.29,0,0
P06,rest-5,14.11,16.84,18.5,-106.86,-0.01,18.5,0
P06,screen-reading,6.26,7.48,8.53,-39.67,-0.55,47.6,0
P06,standing,12.9,14.78,14.86,-10.22,0.24,11.9,0
P07,keyboard-typing,9.08,11.49,12.88,-8.82,-0.03,39,0
P07,mobile-typing,3.52,4.6,5.09,-15.55,-0.5,73.2,0
P07,ssst-sing,20.29,21.32,23.93,-683.33,0.11,0,0
P07,jogging,42.44,47.31,46.98,-17.53,0.79,3.8,0
P07,running,12.67,19.91,14.74,-77.32,0,50,0
P07,walking,13.37,13.99,17.12,-4.95,0.69,3.8,0
P07,meditation-1,2.8,3.8,4.04,-4.13,-0.09,76.1,0
P07,meditation-2,5.72,7.36,8.06,-5.87,-0.07,56.3,0
P07,rest-1,4.29,5.31,5.88,-38.45,-0.25,61.5,0
P07,rest-2,3.75,5.1,5.12,-286.27,-0.58,61.5,0
P07,rest-3,16.99,18.76,21.09,-14,0.38,23.1,0
P07,rest-4,15.4,16.21,18.42,-5.61,0.81,7.7,0
P07,rest-5,24.85,30,18.31,-30.54,0.53,7.7,0
P07,screen-reading,2.31,2.98,3.33,-5.93,-0.35,90.2,0
P07,standing,6.26,8.29,7.89,-39.56,-0.62,68.3,0
P08,keyboard-typing,10.8,12.06,14.68,-6.68,0.14,19.5,0
P08,mobile-typing,4.73,5.15,7.31,-7.99,-0.45,65.9,0
P08,ssst-sing,5.31,5.33,7.63,-205.76,,25,0
P08,jogging,21.55,26.62,18.07,-0.35,0.68,18.5,0
P08,running,19.58,39.24,23.5,-84.75,-0.36,61.5,0
P08,walking,8.48,13.95,11.25,-245.3,0.21,42.3,0
P08,meditation-1,2.41,2.81,4.22,-4.45,0.07,95.8,0
P08,meditation-2,2.64,3.89,4.38,-2.69,-0.29,85.9,0
P08,rest-1,4.06,4.44,6.54,-56.48,0.41,57.7,0
P08,rest-2,4.45,5.33,6.82,-138.07,-0.01,53.8,0
P08,rest-3,7.19,9.1,10.09,-9.43,0.04,42.3,0
P08,rest-4,9.45,10.13,13.21,-9.86,0.58,7.7,0
P08,rest-5,40.49,41.27,29.84,-6.99,0.85,0,0
P08,screen-reading,0.43,0.53,0.71,0,,100,0
P08,standing,4.67,6.13,6.77,-11.49,-0.42,75.6,0
P09,keyboard-typing,2.4,3.45,3.17,-5.61,0.17,82.9,0
