Subject,Activity,MAE,RMSE,MAPE,R2,Pearson r,??5bpm (%),NaN (%)
P02,keyboard-typing,41.45,52.34,48.45,-1801.6,0.36,11.9,0
P02,mobile-typing,5.17,9.56,6.76,-99.73,0.23,71.4,0
P02,ssst-sing,8.22,8.4,9.46,-952.06,-0.71,0,0
P02,jogging,47.02,53.98,52.24,-20.34,0.08,3.7,0
P02,running,25.73,32.06,23.57,-9.66,0,7.7,0
P02,walking,8.01,10.26,8.98,-22.76,0.32,33.3,0
P02,meditation-1,4.61,6.41,5.69,-0.13,0.35,72.2,0
P02,meditation-2,2.53,3.17,3.34,-1.26,0.33,88.9,0
P02,rest-1,5.88,9.22,8.93,-14.41,-0.8,64.3,0
P02,rest-2,2.99,3.72,3.92,-138.02,-0.44,85.2,0
P02,rest-3,7.15,8.22,8.26,-5.11,0.36,42.3,0
P02,rest-4,18.74,19.87,19.77,-37.71,0.49,0,0
P02,rest-5,24.03,25.33,18.15,-14.99,0.77,3.7,0
P02,screen-reading,5.23,9.17,6.52,-19.77,-0.52,81,0
P02,standing,7.54,11.84,9.28,-14.17,-0.29,58.5,0
P03,keyboard-typing,6.14,7.86,7.22,-11.57,-0.08,56.1,0
P03,mobile-typing,4.25,5.53,5.21,-4.09,0.01,63.4,0
P03,ssst-sing,87.94,88.45,108.17,-281638.09,0.77,0,0
P03,jogging,17.92,21.36,18.95,-2.71,-0.21,19.2,0
P03,running,34.09,36.46,30.62,-6.61,0.5,0,0
P03,walking,14.91,21.06,15.11,-256.9,0.01,34.6,0
P03,meditation-1,3.77,4.86,5.19,-2.7,0.32,79.2,0
P03,meditation-2,4.67,5.35,6.37,-1.19,0.6,57.7,0
P03,rest-1,8.57,11.27,10.95,-419.06,0.26,50,0
P03,rest-2,7.93,9.44,9.71,-27.47,-0.19,34.6,0
P03,rest-3,6.51,9.02,7.91,-12,-0.08,57.7,0
P03,rest-4,8.4,10.08,9.26,-7.37,0.81,30.8,0
P03,rest-5,21.34,23.32,16.19,-15.05,0.3,3.8,0
P03,screen-reading,7.45,11.56,9.63,-15.51,0.22,54.8,0
P03,standing,30.11,47.55,35,-139.28,-0.38,9.8,0
P04,keyboard-typing,75.65,99.19,109.64,-1095.51,0.42,2.4,0
P04,mobile-typing,7.62,9.45,9.97,-6.08,-0.32,31,0
